iter	Passed	Remaining
501	29832	29595
502	29890	29533
503	29947	29472
504	30006	29412
505	30066	29353
506	30119	29288
507	30179	29229
508	30235	29166
509	30290	29103
510	30346	29040
511	30406	28981
512	30462	28918
513	30514	28852
514	30573	28792
515	30626	28727
516	30679	28661
517	30735	28599
518	30792	28537
519	30851	28477
520	30905	28414
521	30959	28349
522	31016	28288
523	31077	28230
524	31150	28183
525	31206	28121
526	31280	28075
527	31443	28108
528	31566	28105
529	31648	28065
530	31756	28048
531	31828	27999
532	31939	27984
533	31995	27921
534	32047	27854
535	32106	27794
536	32166	27734
537	32220	27669
538	32285	27613
539	32341	27550
540	32397	27487
541	32447	27419
542	32506	27358
543	32565	27297
544	32620	27233
545	32675	27169
546	32736	27111
547	32794	27049
548	32847	26983
549	32909	26925
550	32968	26865
551	33022	26801
552	33077	26737
553	33128	26670
554	33186	26609
555	33242	26545
556	33295	26480
557	33352	26418
558	33409	26357
559	33469	26297
560	33522	26232
561	33580	26171
562	33633	26106
563	33690	26044
564	33752	25986
565	33806	25922
566	33863	25860
567	33921	25799
568	33978	25737
569	34037	25677
570	34098	25618
571	34157	25558
572	34215	25497
573	34275	25437
574	34335	25378
575	34395	25318
576	34450	25256
577	34507	25193
578	34558	25127
579	34615	25066
580	34670	25003
581	34727	24941
582	34788	24883
583	34848	24823
584	34905	24762
585	34961	24699
586	35016	24636
587	35069	24572
588	35123	24508
589	35183	24449
590	35241	24388
591	35299	24327
592	35354	24264
593	35410	24203
594	35468	24142
595	35524	24080
596	35575	24015
597	35631	23952
598	35689	23892
599	35742	23828
600	35800	23767
601	35855	23705
602	35912	23643
603	35970	23583
604	36025	23520
605	36086	23462
606	36140	23399
607	36195	23336
608	36251	23274
609	36306	23212
610	36366	23153
611	36422	23091
612	36481	23031
613	36535	22968
614	36587	22904
615	36640	22840
616	36699	22780
617	36758	22721
618	36814	22659
619	36873	22600
620	36931	22539
621	36991	22480
622	37048	22419
623	37102	22356
624	37162	22297
625	37221	22237
626	37277	22176
627	37336	22116
628	37394	22056
629	37452	21995
630	37510	21935
631	37572	21877
632	37629	21816
633	37679	21751
634	37736	21690
635	37797	21632
636	37853	21571
637	37909	21509
638	37968	21449
639	38027	21390
640	38086	21330
641	38144	21270
642	38196	21207
643	38253	21146
644	38313	21087
645	38366	21024
646	38423	20963
647	38481	20903
648	38539	20843
649	38593	20780
650	38648	20719
651	38698	20655
652	38754	20593
653	38811	20533
654	38872	20474
655	38932	20415
656	38987	20354
657	39048	20295
658	39108	20236
659	39163	20175
660	39219	20114
661	39282	20056
662	39341	19997
663	39399	19937
664	39457	19877
665	39514	19816
666	39569	19755
667	39630	19696
668	39685	19635
669	39739	19573
670	39786	19507
671	39839	19445
672	39893	19383
673	39942	19319
674	40002	19260
675	40069	19204
676	40127	19145
677	40183	19084
678	40241	19024
679	40299	18964
680	40356	18904
681	40408	18841
682	40471	18784
683	40528	18723
684	40583	18662
685	40635	18599
686	40695	18541
687	40778	18492
688	40876	18450
689	40941	18393
690	40994	18331
691	41047	18269
692	41106	18210
693	41165	18150
694	41218	18088
695	41276	18028
696	41331	17967
697	41381	17904
698	41442	17845
699	41497	17784
700	41550	17722
701	41611	17664
702	41670	17604
703	41729	17545
704	41783	17484
705	41843	17424
706	41898	17363
707	41954	17303
708	42011	17243
709	42071	17184
710	42127	17123
711	42180	17061
712	42239	17002
713	42296	16942
714	42353	16882
715	42405	16820
716	42456	16757
717	42514	16698
718	42575	16639
719	42632	16579
720	42693	16520
721	42750	16460
722	42805	16399
723	42860	16339
724	42913	16277
725	42972	16218
726	43025	16156
727	43082	16096
728	43138	16036
729	43191	15974
730	43244	15913
731	43301	15853
732	43358	15793
733	43417	15734
734	43468	15672
735	43527	15613
736	43583	15552
737	43641	15493
738	43700	15434
739	43759	15374
740	43817	15315
741	43871	15254
742	43932	15196
743	43993	15137
744	44051	15077
745	44108	15018
746	44166	14958
747	44219	14897
748	44278	14838
749	44334	14778
750	44391	14718
751	44450	14659
752	44501	14597
753	44554	14536
754	44611	14476
755	44667	14416
756	44725	14356
757	44784	14298
758	44841	14238
759	44896	14177
760	44956	14118
761	45013	14059
762	45066	13998
763	45127	13939
764	45186	13880
765	45243	13821
766	45299	13761
767	45353	13700
768	45409	13640
769	45468	13581
770	45525	13521
771	45580	13461
772	45637	13401
773	45707	13346
774	45765	13286
775	45819	13226
776	45876	13166
777	45940	13109
778	45998	13049
779	46073	12995
780	46162	12944
781	46334	12916
782	46438	12869
783	46526	12818
784	46618	12768
785	46713	12718
786	46784	12662
787	46842	12602
788	46899	12542
789	46952	12481
790	47007	12420
791	47068	12361
792	47126	12301
793	47189	12243
794	47243	12182
795	47299	12121
796	47356	12062
797	47413	12002
798	47472	11942
799	47528	11882
800	47580	11820
801	47639	11761
802	47694	11700
803	47752	11641
804	47812	11581
805	47869	11521
806	47926	11461
807	47981	11401
808	48036	11341
809	48090	11280
810	48150	11221
811	48202	11160
812	48253	11099
813	48306	11038
814	48355	10976
815	48405	10914
816	48464	10855
817	48520	10795
818	48574	10735
819	48629	10674
820	48682	10614
821	48741	10554
822	48796	10494
823	48850	10434
824	48904	10373
825	48963	10314
826	49022	10254
827	49075	10194
828	49137	10135
829	49192	10075
830	49250	10015
831	49307	9956
832	49371	9897
833	49427	9838
834	49481	9777
835	49540	9718
836	49594	9658
837	49651	9598
838	49707	9538
839	49759	9478
840	49817	9418
841	49874	9358
842	49930	9298
843	49985	9239
844	50042	9179
845	50098	9119
846	50158	9060
847	50215	9000
848	50277	8942
849	50328	8881
850	50385	8821
851	50443	8762
852	50500	8702
853	50552	8642
854	50611	8583
855	50669	8523
856	50726	8464
857	50783	8404
858	50841	8345
859	50905	8286
860	50959	8226
861	51017	8167
862	51077	8108
863	51138	8049
864	51201	7991
865	51274	7933
866	51331	7874
867	51393	7815
868	51449	7755
869	51505	7696
870	51560	7636
871	51620	7577
872	51675	7517
873	51732	7458
874	51789	7398
875	51841	7338
876	51900	7279
877	51961	7220
878	52023	7161
879	52079	7101
880	52136	7042
881	52195	6983
882	52255	6923
883	52314	6864
884	52370	6805
885	52430	6746
886	52489	6686
887	52550	6627
888	52607	6568
889	52664	6509
890	52727	6450
891	52783	6390
892	52838	6331
893	52896	6271
894	52954	6212
895	53011	6153
896	53069	6093
897	53123	6034
898	53178	5974
899	53235	5915
900	53288	5855
901	53348	5796
902	53409	5737
903	53464	5677
904	53523	5618
905	53581	5559
906	53641	5500
907	53692	5440
908	53748	5380
909	53802	5321
910	53860	5261
911	53911	5201
912	53967	5142
913	54025	5083
914	54084	5024
915	54142	4965
916	54196	4905
917	54256	4846
918	54315	4787
919	54369	4727
920	54425	4668
921	54483	4609
922	54537	4549
923	54594	4490
924	54651	4431
925	54711	4372
926	54760	4312
927	54820	4253
928	54879	4194
929	54931	4134
930	54988	4075
931	55042	4015
932	55104	3957
933	55165	3898
934	55223	3839
935	55280	3779
936	55335	3720
937	55387	3660
938	55448	3602
939	55503	3542
940	55559	3483
941	55615	3424
942	55670	3365
943	55728	3305
944	55786	3246
945	55840	3187
946	55901	3128
947	56004	3072
948	56057	3012
949	56118	2953
950	56173	2894
951	56227	2835
952	56282	2775
953	56340	2716
954	56396	2657
955	56454	2598
956	56514	2539
957	56569	2480
958	56622	2420
959	56674	2361
960	56723	2301
961	56770	2242
962	56820	2183
963	56871	2123
964	56929	2064
965	56983	2005
966	57038	1946
967	57089	1887
968	57145	1828
969	57204	1769
970	57258	1710
971	57321	1651
972	57384	1592
973	57440	1533
974	57494	1474
975	57547	1415
976	57604	1356
977	57661	1297
978	57717	1238
979	57781	1179
980	57837	1120
981	57894	1061
982	57952	1002
983	58015	943
984	58073	884
985	58123	825
986	58183	766
987	58236	707
988	58290	648
989	58348	589
990	58404	530
991	58459	471
992	58517	412
993	58577	353
994	58636	294
995	58694	235
996	58749	176
997	58805	117
998	58866	58
999	58930	0
